Player Id,Name,Position,Year,Season,Week,Game Date,Home or Away,Opponent,Outcome,Score,Games Played,Games Started,Punts,Gross Punting Yards,Net Punting Yards,Longest Punt,Gross Punting Average,Net Punting Average,Punts Blocked,Out of Bounds Punts,Downed Punts,Punts Inside 20 Yard Line,Touchbacks,Fair Catches,Punts Returned,Yards Returned on Punts,TDs Returned on Punt
ryanallen/2539640,"Allen, Ryan",P,2017,Regular Season,12,11/26,Home,MIA,W,35 to 17,1,0,3,122,102,46,40.7,34.0,0,0,0,1,1,1,1,0,0
ryanallen/2539640,"Allen, Ryan",P,2017,Regular Season,13,12/03,Away,BUF,W,23 to 3,1,0,3,105,105,48,35.0,35.0,0,0,1,1,0,2,0,0,0
ryanallen/2539640,"Allen, Ryan",P,2017,Regular Season,14,12/11,Away,MIA,L,20 to 27,1,0,7,334,325,53,47.7,46.4,0,0,2,3,0,3,2,9,0
ryanallen/2539640,"Allen, Ryan",P,2017,Regular Season,15,12/17,Away,PIT,W,27 to 24,1,0,2,96,94,54,48.0,47.0,0,0,1,1,0,0,1,2,0
ryanallen/2539640,"Allen, Ryan",P,2017,Regular Season,16,12/24,Home,BUF,W,37 to 16,1,0,1,44,44,44,44.0,44.0,0,0,0,0,0,1,0,0,0
ryanallen/2539640,"Allen, Ryan",P,2017,Regular Season,17,12/31,Home,NYJ,W,26 to 6,1,0,8,338,334,53,42.3,41.8,0,1,3,5,0,2,2,4,0
ryanallen/2539640,"Allen, Ryan",P,2017,Postseason,19,01/13,Home,TEN,W,35 to 14,1,0,4,169,149,57,42.3,37.3,0,0,1,2,1,1,1,0,0
ryanallen/2539640,"Allen, Ryan",P,2017,Postseason,20,01/21,Home,JAX,W,24 to 20,1,0,6,250,250,53,41.7,41.7,0,2,0,3,0,4,0,0,0
ryanallen/2539640,"Allen, Ryan",P,2017,Postseason,22,02/04,Home,PHI,L,33 to 41,1,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ryanallen/2539640,"Allen, Ryan",P,2016,Preseason,1,08/11,Home,NO,W,34 to 22,1,0,7,317,208,50,45.3,29.7,0,0,0,1,0,0,7,109,0
ryanallen/2539640,"Allen, Ryan",P,2016,Preseason,2,08/18,Home,CHI,W,23 to 22,1,0,4,178,163,53,44.5,40.8,0,0,0,2,0,0,4,15,0
ryanallen/2539640,"Allen, Ryan",P,2016,Preseason,3,08/26,Away,CAR,W,19 to 17,1,0,7,328,319,53,46.9,45.6,0,1,0,1,0,3,3,9,0
ryanallen/2539640,"Allen, Ryan",P,2016,Preseason,4,09/01,Away,NYG,L,9 to 17,1,0,5,198,182,52,39.6,36.4,0,0,1,3,0,2,2,16,0
ryanallen/2539640,"Allen, Ryan",P,2016,Regular Season,1,09/11,Away,ARI,W,23 to 21,1,0,2,89,81,45,44.5,40.5,0,0,0,0,0,1,1,8,0
ryanallen/2539640,"Allen, Ryan",P,2016,Regular Season,2,09/18,Home,MIA,W,31 to 24,1,0,4,128,128,37,32.0,32.0,0,0,3,2,0,1,0,0,0
